"","address","lat","lng","carpark_type","rate_half_hr","capacity","rate","extracted_address","NearbyTraffic_1984","NearbyTraffic_1985","NearbyTraffic_1986","NearbyTraffic_1987","NearbyTraffic_1988","NearbyTraffic_1989","NearbyTraffic_1990","NearbyTraffic_1991","NearbyTraffic_1992","NearbyTraffic_1993","NearbyTraffic_1994","NearbyTraffic_1995","NearbyTraffic_1996","NearbyTraffic_1997","NearbyTraffic_1998","NearbyTraffic_1999","NearbyTraffic_2000","NearbyTraffic_2001","NearbyTraffic_2002","NearbyTraffic_2003","NearbyTraffic_2004","NearbyTraffic_2005","NearbyTraffic_2006","NearbyTraffic_2007","NearbyTraffic_2008","NearbyTraffic_2009","NearbyTraffic_2010","NearbyTraffic_2011","NearbyTraffic_2012","NearbyTraffic_2013","NearbyTraffic_2014","NearbyTraffic_2015","NearbyTraffic_2016","NearbyTraffic_2017","NearbyTraffic_2018","NearbyTraffic_2019","NearbyTraffic_2020","NearbyTraffic_2021","NearbyTraffic_2022","NearbyTraffic_2023"
"31","17 Eaton Avenue",43.680078,-79.343197,"Surface",1.5,30,"1.50","17 Eaton Avenue",7392,7325,6549.5,8148.5,10084,8550.25,7433.25,8193.75,6736.25,6525.75,7895.875,5805.75,7579.625,8471.375,7013.5,2450.125,5856.375,2648.75,6445.6875,4911.375,3418.75,4780.125,2366.875,1528.25,5290.875,5137,4277.375,4458.375,2978.4375,4181,4521.8125,6231.16666666667,2132.875,4900.875,2740,3197.375,3159.82291666667,3101.875,4686.33333333333,3678.875
"32","265 Armadale Avenue",43.650283,-79.483039,"Surface",1.5,148,"1.50","265 Armadale Avenue",5785.625,7492,9606.6875,9433.25,11107.6875,7002.1875,8109,8572.5,7952.125,6799.375,7489.875,7038.375,7101.5625,8910.125,6891.875,5265.75,4289.75,7682.25,4394.25,4022.125,6268.875,4457,6837.625,6475.625,5878.5625,5128.375,3527.125,5425,6548.25,6644.125,5929.375,6241.125,5640.0625,5854,5283.375,5510.5,3488.3125,4604.4375,5336,3412.125
"33","675 Manning Avenue",43.664651,-79.416014,"Surface",2,49,"2.00","675 Manning Avenue",7176.625,8065.1875,10686.625,7869.25,7533,9283.125,9335,9263.875,5886.75,6901.625,5654.75,6618.75,8155.5,6183.25,10195.5,6022.125,7591,6571.625,5768.875,5456.375,6303.625,1651,4852.5,4624.75,7064.25,6666.75,5438.125,6095.625,6331.5625,4843.875,6508.25,6017.25,7692.3125,3549.23611111111,3681.375,4502.125,3941.45833333333,2221.75,5548.9375,2456.1875
"34","745 Ossington Avenue, 16 Carling Avenue",43.662431,-79.425648,"Surface",2,45,"2.00","745 Ossington Avenue",6922.5,7313.5,7154.625,6026,7035.25,6931.25,7088.375,7505.375,5303.625,6850,6765.75,5921.125,6092.0625,6053.375,10251,5347.875,6467.375,4791.625,3820.75,4197.25,4886.875,3788.875,2536.625,5576.3125,5268.125,6086.875,5175.375,3743.25,4090.9375,3318.375,1962.5,2941.25,7609.75,3211.67361111111,4540,5510.4375,4911.95833333333,3851.2,2631.4375,3523.25
"35","15 Denison Avenue",43.648412,-79.400307,"Surface",2,120,"2.00","15 Denison Avenue",7639.375,8926.375,9175.375,8396.875,8535.375,9289.75,9457.375,8041.4375,9250.5625,6906.625,7619.125,6984.875,8447.5,10799.125,6159.8125,5103.9375,5988.4375,5832.75,5690.125,6378.125,6705.0625,4806,6546.625,6993.5,5422.875,5937.875,6708.125,5588.25,7417.125,3223.875,7064.25,5745.9375,8147.82708333333,4720.875,3156,5335.75,4126.125,3569.25,2897.75,2784.8125
"36","251 MacPherson Avenue",43.677378,-79.40035,"Surface",1,40,"1.00","251 MacPherson Avenue",12537.5,12246.5,15663.625,13467.875,10604.75,13263.5,12841.875,11238.125,10531.375,10621.625,14200,11979.75,11089.625,11461.75,11157.75,9878.875,12912.3125,9389.875,10854.875,11387.875,7907.125,2631.5,6352.125,7022.5625,9954.25,6490.1875,6581.5,5438,11244.25,6139.125,5019.75,5996.875,10391.6875,9281.125,7825.33333333333,4099.1875,5009.46875,6009.83333333333,7562.578125,8120.16666666667
"37","51 Aberdeen Avenue",43.664703,-79.36905,"Surface",2,35,"2.00","51 Aberdeen Avenue",11675.375,12511.75,14065.875,8113.25,10623.875,12431.25,11618.75,9618.625,8758,8054.75,12829.75,10043.625,8196.125,9591.75,6221,8411.375,7378.75,7873.875,5716.75,6461.5,7585,5374.375,6880.125,1670.875,8555.5,5370.375,8951.0625,7424.125,6245.25,8952.5,4757.25,3419.5625,7373,6509.875,5060.25,7901.875,3230,5662.83333333333,2607.75,4030.625
"38","1612 Danforth Avenue",43.683577,-79.322995,"Surface",1.5,25,"1.50","1612 Danforth Avenue",5664.5625,6606.9375,5528.875,7112.5,9797.125,8312.75,7016.75,8644.625,7981.375,7318.25,7764.875,8107.75,7927,8247.75,6395.3125,6046.875,4106.25,3605.375,5872.625,5755,4304.625,6880.625,1409.375,1564,3909.375,6928,5234.75,4539.5,5155.75,5653.625,5370.875,5663.20833333333,4041.1875,3930.875,1696,6300.10416666667,3426.26041666667,4535.40625,4614.58333333333,4085.875
"39","255 Kennedy Avenue",43.65168,-79.475119,"Surface",1.5,56,"1.50","255 Kennedy Avenue",5959.375,7871.375,10738.5625,9771.875,10590.9375,7523.3125,8118.5,10304.25,9013.125,6428.0625,6370.5,7038.375,7864.1875,7346.875,6530.25,4790.125,3751.5,7377.5,4934.625,4499.625,5696.875,2201.25,5544.8125,6788.25,5782.8125,5731.125,4243.25,4971.125,5863.5,6272.75,6403.375,5685.5,5472.25,5742.875,5236.5,4434.5,4209.63541666667,5909.77083333333,4899.75,2960.5
"40","7 Bartlett Avenue",43.660899,-79.433013,"Surface",1,37,"1.00","7 Bartlett Avenue",7466.375,7465,6214.125,6467.875,7627.875,7376.125,7837.5,8576.125,5177.25,6978.125,7450.625,7238.25,5608.3125,6298.25,9026.375,5712.5,7625.875,5358.125,4289.875,5034.375,4849.125,5296.25,3947.875,5007.5625,5946.97916666667,6209.25,5798.625,4176.0625,6242,2661.5,1899.25,4005,8186,4025.25,2638,6401.6875,5472.78125,2907.78125,2693.40625,4381
