"","id","address","lat","lng","carpark_type","rate_half_hr","capacity","rate","extracted_address"
"123","300","185 Queens Quay East",43.6443439857175,-79.3662570749035,"Surface",2,83,"2.00","185 Queens Quay East"
"124","302","545 Lake Shore Boulevard West",43.6364562,-79.3986913,"Surface",3,110,"3.00","545 Lake Shore Boulevard West"
"125","303","136 Wineva Ave.",43.671253953447,-79.2959578153443,"Surface",1.25,28,"1.25","136 Wineva Ave."
"126","400","10 Kingsdale Avenue",43.770373,-79.41257,"Surface",1.25,52,"1.25","10 Kingsdale Avenue"
"127","401","246 Brooke Avenue",43.733158,-79.420295,"Surface",1.5,97,"1.50","246 Brooke Avenue"
"128","402","10 Empress Avenue",43.769459,-79.412484,"Surface",2.5,68,"2.50","10 Empress Avenue"
"129","403","10 Harlandale Avenue",43.762168,-79.412441,"Surface",2.5,112,"2.50","10 Harlandale Avenue"
"130","410","180 Beecroft Road",43.767569,-79.416143,"Surface",2,173,"2.00","180 Beecroft Road"
"131","411","1880 Avenue Road",43.732182,-79.419576,"Surface",1.25,32,"1.25","1880 Avenue Road"
"132","412","11 Finch Avenue West",43.779321,-79.416572,"Surface",2,62,"2.00","11 Finch Avenue West"
"133","413","4576 Yonge Street",43.756023,-79.410403,"Surface",2,17,"2.00","4576 Yonge Street"
"134","414","3885 Yonge Street",43.741786,-79.40595,"Surface",1.25,129,"1.25","3885 Yonge Street"
"135","418","68 Sheppard Avenue West",43.76082,-79.414662,"Surface",1.5,34,"1.50","68 Sheppard Avenue West"
"136","419","5667 Yonge Street",43.781482,-79.415703,"Surface",2,23,"2.00","5667 Yonge Street"
"137","424","2170 Bayview avenue",43.723875,-79.379571,"Surface",2,69,"2.00","2170 Bayview avenue"
"138","500","7 Jackson Avenue",43.6483334,-79.5090384,"Surface",1,40,"1.00","7 Jackson Avenue"
"139","501","11 Grenview Blvd. N.",43.648738,-79.507853,"Surface",1,83,"1.00","11 Grenview Blvd. N."
"140","502","342 Prince Edward Drive N.",43.6488534,-79.5055311,"Surface",1,43,"1.00","342 Prince Edward Drive N."
"141","503","12 Willingdon Blvd. - partial construction, reduced spaces",43.648389,-79.510632,"Surface",1.5,65,"1.50","12 Willingdon Blvd. "
"142","504","9 Willingdon Blvd.",43.6481868,-79.5102001,"Surface",1,116,"1.00","9 Willingdon Blvd."
"143","505","934 Royal York Road",43.646766,-79.511318,"Surface",1.5,11,"1.50","934 Royal York Road"
"144","506","140 Fifth Street",43.60169,-79.503422,"Surface",1,53,"1.00","140 Fifth Street"
"145","507","66 Third Street",43.601216,-79.500697,"Surface",1,24,"1.00","66 Third Street"
"146","508","128 Eighth Street",43.600906,-79.506769,"Surface",1,45,"1.00","128 Eighth Street"
"147","509","105 Fourth Street",43.600781,-79.501415,"Surface",0,22,"0.00","105 Fourth Street"
"148","510","3239 Lake Shore Boulevard West",43.5969875841121,-79.5217088637543,"Surface",1,22,"1.00","3239 Lake Shore Boulevard West"
"149","511","120 Sixth Street",43.600152,-79.50399,"Surface",1,54,"1.00","120 Sixth Street"
"150","512","3220 Bloor Street West",43.645959,-79.518067,"Surface",1.5,69,"1.50","3220 Bloor Street West"
"151","513","575 Royal York Road",43.626997,-79.502724,"Surface",1,28,"1.00","575 Royal York Road"
"152","514","139 ISLINGTON AVE.",43.601317,-79.50531,"Surface",1,11,"1.00","139 ISLINGTON AVE."
"153","516","WOOLGAR LANEWAY REAR OF 1124 THE QUEENSWAY",43.623355,-79.519,"Surface",1,11,"1.00","WOOLGAR LANEWAY REAR OF 1124 THE QUEENSWAY"
"154","517","15 Primrose Avenue",43.614299,-79.489882,"Surface",1,23,"1.00","15 Primrose Avenue"
"155","519","5 Dayton Avenue",43.625584,-79.503551,"Surface",1,15,"1.00","5 Dayton Avenue"
"156","520","20 Royalavon Crescent",43.645253,-79.532733,"Surface",1,62,"1.00","20 Royalavon Crescent"
"157","521","7 Monkton Avenue",43.644336,-79.521886,"Surface",2,25,"2.00","7 Monkton Avenue"
"158","522","2195 Lake shore Blvd West (Parks)",43.6227739895514,-79.4767338220902,"Surface",1,228,"1.00","2195 Lake shore Blvd West "
"159","523","2225 Lake shore Blvd West (Parks)",43.6200300180063,-79.4806666413864,"Surface",1,80,"1.00","2225 Lake shore Blvd West "
"160","524","2225 Lake shore Blvd West (Parks)",43.6196410632487,-79.4794703761658,"Surface",1,144,"1.00","2225 Lake shore Blvd West "
"161","525","2225 Lake shore Blvd West (Parks)",43.616982,-79.477247,"Surface",1,28,"1.00","2225 Lake shore Blvd West "
"162","526","2225 Lake shore Blvd West (Parks)",43.61478,-79.478059,"Surface",1,22,"1.00","2225 Lake shore Blvd West "
"163","527","2225 Lake shore Blvd West (Parks)",43.613359,-79.479926,"Surface",1,10,"1.00","2225 Lake shore Blvd West "
"164","528","5 Colonel Samuel Smith Park Drive",43.5978864295698,-79.5211193809232,"Surface",1,52,"1.00","5 Colonel Samuel Smith Park Drive"
"165","529","65 Colonel Samuel Smith Park Drive",43.593757,-79.516468,"Surface",1,210,"1.00","65 Colonel Samuel Smith Park Drive"
"166","532","14 Barkwin Dr.",43.738381,-79.5652828,"Surface",1,23,"1.00","14 Barkwin Dr."
"167","533","2300 Lake shore Boulevard West",43.6184744,-79.4867386,"Surface",1,23,"1.00","2300 Lake shore Boulevard West"
"168","534","15 Marine Parade Drive",43.6267898,-79.4767453,"Surface",1,14,"1.00","15 Marine Parade Drive"
"169","600","550 Mortimer Avenue",43.6905916,-79.3275032,"Surface",2,20,"2.00","550 Mortimer Avenue"
"170","602","1503 Bayview Avenue",43.703909,-79.374332,"Surface",1.25,25,"1.25","1503 Bayview Avenue"
"171","651","1169 Weston Road",43.687441,-79.4903,"Surface",1,47,"1.00","1169 Weston Road"
"172","652","301 Scott Road",43.690343,-79.472383,"Surface",1,14,"1.00","301 Scott Road"
"173","653","17 Riverview Gardens",43.649119,-79.486397,"Surface",1,113,"1.00","17 Riverview Gardens"
"174","654","16 Riverview Gardens",43.648894,-79.486663,"Surface",1,54,"1.00","16 Riverview Gardens"
"175","656","1A Mould Avenue",43.668423,-79.486953,"Surface",0,7,"0.00","1A Mould Avenue"
