"","TS_Input.address","TS_Input.lat","TS_Input.lng","TS_Input.NearbyTraffic_2022","TS_Output_2024","EV_nearbyTraffic_2022","EV_nearbyTraffic_2024"
"39","255 Kennedy Avenue",43.65168,-79.475119,4899.75,3835,147,204
"40","7 Bartlett Avenue",43.660899,-79.433013,2693.40625,4381,81,234
"41","912 Eglinton Avenue West",43.700543,-79.428073,3270.125,5029,98,268
"42","20 Prescott Avenue ",43.675143,-79.457513,5526.203125,4932,166,263
"43","77 Gough Avenue",43.679481,-79.346287,4912.33333333333,3732,147,199
"44","6 Sherwood Avenue",43.713751,-79.399213,4553.75,4337,137,231
"45","141 Greenlaw Avenue",43.676198,-79.447739,6577.2625,5836,197,311
"46","31 Langford Avenue",43.680613,-79.340751,4568.20833333333,3997,137,213
"47","265 Willard Avenue",43.650431,-79.481771,4712,4228,141,225
"48","376 Clinton Street",43.664441,-79.41758,4016.78125,3195,121,170
"49","573 Gerrard Street East",43.665202,-79.353164,3632.42708333333,4405,109,235
"50","12 Woodycrest Avenue",43.68035,-79.342339,4568.20833333333,3242,137,173
"51","25 Glenforest Road",43.730266,-79.402734,5225.875,5827,157,311
"52","995 Eglinton Avenue West",43.699612,-79.431131,4190.75,4235,126,226
"53","18 Ferrier Avenue",43.678945,-79.348798,3066.33333333333,3750,92,200
"54","1325 Queen Street West",43.64095,-79.433856,3695.925,3246,111,173
"55","453 Spadina Road",43.689543,-79.412946,5430.58928571429,4374,163,233
"56","18 Ossington Avenue",43.644655,-79.419286,3394.70833333333,3095,102,165
"57","146 Harrison Street",43.650423,-79.424404,3944.58333333333,3517,118,187
"58","117 Hammersmith Avenue",43.671707,-79.294358,2495.9375,4628,75,247
"59","737 Rhodes Avenue",43.682926,-79.324476,4530.33333333333,4118,136,219
"60","151 Hiawatha Road",43.672598,-79.322941,4158,4110,125,219
"61","653 Gerrard Street East",43.665784,-79.350195,3582.92708333333,4460,107,238
"62","268 Rhodes Ave",43.672047,-79.320366,3912.75,4122,117,220
"63","1155 King Street West",43.637863,-79.424011,2876.4375,3003,86,160
"64","166 Woodbine Ave",43.668252,-79.306226,5895.0625,5150,177,274
"65","192 Boardwalk Dr",43.668004,-79.307384,5895.0625,5172,177,276
"66","116 Joseph Duggan Rd",43.667724,-79.308522,5895.0625,4795,177,256
"67","118 Sarah Ashbridge Ave",43.667445,-79.309487,5895.0625,5048,177,269
"68","116 Winners Circle",43.667107,-79.31074,5445.8125,4777,163,255
"69","157 Beatrice Street",43.654669,-79.416411,4358.08333333333,3639,131,194
"70","1675 Lakeshore Blvd. E. (Parks)",43.662417,-79.311188,5740.8125,4953,172,264
"71","20 Ashbridges Bay Park Road (Parks)",43.660056,-79.311365,5740.8125,4672,172,249
"72","15 Price St",43.679814,-79.390007,4211.66666666667,4831,126,257
"73","1167 Eastern Avenue",43.665986,-79.313049,5444.02083333333,4691,163,250
"74","1141 Eastern Avenue",43.66566,-79.314079,5358.14583333333,4523,161,241
"75","1117 Dundas Street West",43.649267,-79.420135,4802.08333333333,3981,144,212
"76","465 Huron Street",43.667778,-79.401648,5934.175,6460,178,344
"77","2001 Lake Shore Blvd. West (Parks)",43.634103,-79.469036,4377.1875,5532,131,295
"78","2001 Lake Shore Blvd. West (Parks)",43.637123,-79.462266,3490.5625,5382,105,287
"79","1575 Lake Shore Blvd. W. (Parks)",43.637473,-79.451301,4704.25,4067,141,217
"80","300 Remembrance Drive ",43.6330895,-79.4087431,2831.5,3604,85,192
"81","1275 Lakeshore Blvd. W. (Parks)",43.6338559495817,-79.4382742037049,4707.125,3650,141,195
"82","363 Adelaide Street West",43.646712,-79.39491,4199.5,4692,126,250
"83","205 McCaul Street",43.657231,-79.392475,4692.91666666667,4957,141,264
"84","1445 Bathurst Street",43.682499,-79.41787,3478.59375,4568,104,243
"85","3354 Dundas Street West",43.665668,-79.4819,2837.75,4662,85,248
"86","87 Richmond Street East",43.652464,-79.374326,5189.70833333333,4502,156,240
"87","789 St. Clair Avenue West",43.680738,-79.429629,2495.53125,2560,75,136
"88","1501 Yonge Street",43.6892603924517,-79.3942691134918,4532.2693452381,5169,136,276
"89","34 Hanna Avenue",43.638242,-79.419812,2121.875,3032,64,162
"90","80 Clinton Street",43.656346,-79.414555,4807.96875,3668,144,196
"91","646 St. Clair Avenue West",43.682103,-79.4242,2764.28125,3578,83,191
"92","105 Spadina Avenue",43.64668,-79.395233,4266.75,4646,128,248
"93","11 Kenwood Avenue",43.68298,-79.422065,3744.40625,3609,112,192
"94","110 Dovercourt Road",43.64384,-79.422762,3252.3125,2897,98,154
"95","31A Parliament Street",43.649553,-79.361694,3461.3125,4035,104,215
"96","19 Spadina Road",43.667974,-79.404218,6012.84375,5435,180,290
"97","44 Parliament Street",43.650361,-79.362445,3241.6875,3800,97,203
"98","2201 Dundas Street West",43.653388,-79.451323,3766.32291666667,3620,113,193
"99","9 Madison Ave.",43.667558,-79.4028,5848.625,5745,175,306
"100","700 St. Clair Ave West",43.681863,-79.42654,1943.90625,3239,58,173
"101","9 Bonar Place",43.6527778,-79.4338219,3445.66071428571,3871,103,206
