"","address","distance","n_business","time_spent","n_customers","traffic_volume","convert","score"
"46","10 Kingsdale Avenue",0.33574133065842,8,0.625104130240845,0.832142857142857,0.369822485207101,0,7.51127605570268e-06
"47","10 Empress Avenue",0.331219637141177,8,0.625104130240845,0.832142857142857,0.369822485207101,0,7.46313910836555e-06
"48","2195 Lake shore Blvd West (Parks)",0.268816192002346,8,0.279502706593843,0.75,0.408284023668639,0,7.20825887455933e-06
"49","251 MacPherson Avenue",0.065944080113047,8,0.241619835241182,0.832142857142857,0.671597633136095,0,7.00940245715879e-06
"50","433 Rogers Road",0.0899990751375742,8,0.691273087737335,0.832142857142857,0.562130177514793,0,6.94242353494587e-06
"51","Finch West Lot - 18 Hendon Ave",0.39287486395177,8,0.625104130240845,0.832142857142857,0.254437869822485,0,6.89114794213982e-06
"52","271A Scarlett Road",0.204902296509195,8,0.724439178132054,0.685714285714286,0.440828402366864,0,6.87430594913663e-06
"53","Warden South Lot - 701 Warden Ave",0.239179282646208,8,0.596717512373497,0.728571428571429,0.467455621301775,0,6.71567227055808e-06
"54","2170 Bayview avenue",0.168180094606359,8,0.506988435395395,0.617857142857143,0.535502958579882,0,6.68761865730362e-06
"55","11 Finch Avenue West",0.369109589172503,8,0.625104130240845,0.832142857142857,0.254437869822485,0,6.6381480923846e-06
"56","4576 Yonge Street",0.223586955907648,8,0.25674890335332,0.739285714285714,0.473372781065089,0,6.62372202835285e-06
"57","15 Marine Parade Drive",0.225952519338541,8,0.208642609189972,0.817857142857143,0.387573964497041,0,6.53146701113144e-06
"58","2800 Steeles Ave W.",0.107349973268652,8,0.322500327007278,0.85,0.576923076923077,0,6.50315109399275e-06
"59","125 Burnaby Blvd",0.0492948227983705,8,0.224917391983042,0.942857142857143,0.559171597633136,0,6.47759869726284e-06
"60","246 Brooke Avenue",0.0411581036371865,8,0.605614175626375,0.878571428571429,0.621301775147929,0,6.29584445016596e-06
"61","2700 Eglinton Avenue West",0.124081789032659,8,0.571893947522121,0.760714285714286,0.461538461538462,0,6.23438343483285e-06
"62","23 Bedford Park Avenue",0.0271593230969464,8,0.879036872348518,0.796428571428571,0.556213017751479,0,6.21045268598238e-06
"63","2225 Lake shore Blvd West (Parks)",0.329451991941224,8,0.194611576529743,0.827857142857143,0.321301775147929,0,6.1845926435068e-06
"64","5667 Yonge Street",0.392434523115939,8,0.625104130240845,0.832142857142857,0.254437869822485,0,6.14770508444331e-06
"65","10 Harlandale Avenue",0.284483566669279,8,0.357807663638946,0.839285714285714,0.355029585798817,0,6.07776479861419e-06
"66","2623 Eglinton Avenue West",0.1156441305104,8,0.571893947522121,0.760714285714286,0.523668639053254,0,6.07586041219437e-06
"67","1675 Lakeshore Blvd. E. (Parks)",0.0615204203485881,8,0.461399938676953,0.935714285714286,0.50887573964497,0,6.07231113966447e-06
"68","19 Spadina Road",0.0359262911209359,8,0.305267309300472,0.803571428571429,0.532544378698225,1,6.05181279788839e-06
"69","118 Sarah Ashbridge Ave",0.044158348435067,8,0.566119524305268,0.914285714285714,0.523668639053254,0,6.04496029841152e-06
"70","166 Woodbine Ave",0.043495946571036,8,0.465288541810423,0.728571428571429,0.523668639053254,1,6.03790851493189e-06
"71","16 Riverview Gardens",0.0371663431884635,8,0.284304263603847,0.803571428571429,0.597633136094675,0,6.03296728843767e-06
"72","15 Primrose Avenue",0.370934202280108,8,0.175411376903488,0.832142857142857,0.195266272189349,0,6.02764480119049e-06
"73","453 Spadina Road",0.0814152527129857,8,0.632428853063724,0.696428571428571,0.482248520710059,0,6.00063964389367e-06
"74","17 Riverview Gardens",0.033778504297687,8,0.284304263603847,0.803571428571429,0.529585798816568,0,5.99745154933833e-06
"75","4 Rosemount Avenue",0.201404160183013,8,0.347943594915104,0.714285714285714,0.42603550295858,0,5.96302153158072e-06
"76","2300 Lake shore Boulevard West",0.319366717586172,8,0.175411376903488,0.832142857142857,0.304733727810651,1,5.93128648440343e-06
"77","405 Sherbourne Street",0.0300171943167367,8,0.94877018722797,0.810714285714286,0.526627218934911,0,5.92591309075107e-06
"78","4 Spadina Road",0.032728006049131,8,0.346101740243046,0.821428571428571,0.523668639053254,0,5.92327540593069e-06
"79","68 Sheppard Avenue West",0.268845359798386,8,0.357807663638946,0.839285714285714,0.35207100591716,0,5.90102582857772e-06
"80","465 Huron Street",0.0254760114717617,8,0.327534076286898,0.821428571428571,0.526627218934911,0,5.87756866434907e-06
"81","292 Brunswick Avenue",0.0102963111328948,8,0.447190644765603,0.892857142857143,0.541420118343195,0,5.8734508673435e-06
"82","31 Blackthorn Ave",0.01247283852873,8,0.782643968259213,0.832142857142857,0.535502958579882,0,5.83362892395123e-06
"83","301 Scott Road",0.114729288229552,8,0.194146178659189,0.742857142857143,0.497041420118343,0,5.81410790641338e-06
"84","7 Norton Avenue",0.0183708679286778,8,0.484831893826572,0.735714285714286,0.526627218934911,0,5.80192888043806e-06
"85","94 Northcliffe Blvd.",0.0463928155268868,8,0.376428188136002,0.789285714285714,0.494082840236686,0,5.75378408095816e-06
"86","557 Palmerston Avenue",0.00943600303311677,8,0.501357744696698,0.735714285714286,0.523668639053254,0,5.67531390250675e-06
"87","385 Pacific Avenue",0.0176283562254356,8,0.641885255088429,0.892857142857143,0.511834319526627,0,5.63654233584271e-06
"88","141 Greenlaw Avenue",0.00982187378574647,8,0.376748439023579,0.814285714285714,0.582840236686391,0,5.63250481807667e-06
"89","400 Keele Street",0.0360521156483138,8,0.564070578446301,0.803571428571429,0.556213017751479,0,5.62873205239259e-06
"90","20 Ashbridges Bay Park Road (Parks)",0.0822758788842345,8,0.351988696644602,0.964285714285714,0.50887573964497,0,5.61814949993518e-06
"91","3950 Keele Street",0.0355558275200491,8,0.216183678873792,0.657142857142857,0.49112426035503,0,5.60691952182746e-06
"92","Victoria Main Lot - 777 Victoria Park Avenue",0.0425485421563753,8,0.635999803728039,0.732142857142857,0.476331360946746,0,5.52388048299042e-06
"93","116 Winners Circle",0.0356056224196399,8,0.45705926818636,0.917857142857143,0.482248520710059,0,5.51296046958552e-06
"94","351 Keele Street",0.0392086761698851,8,0.564070578446301,0.803571428571429,0.538461538461538,0,5.49002578312089e-06
"95","2001 Lake Shore Blvd. West (Parks)",0.165461269189246,8,0.303525698683149,0.830357142857143,0.349112426035503,0,5.47803754802072e-06
"96","101 Cedarvale Avenue",0.0411690122604316,8,0.49369105488414,0.689285714285714,0.473372781065089,0,5.47769792746987e-06
"97","192 Boardwalk Dr",0.0489465327935636,8,0.507127695361764,0.732142857142857,0.523668639053254,0,5.44198398605512e-06
"98","1880 Avenue Road",0.0306063069025518,8,0.605614175626375,0.878571428571429,0.541420118343195,0,5.43638869320855e-06
"99","116 Joseph Duggan Rd",0.0477001960220867,8,0.606652045414637,0.85,0.523668639053254,0,5.43013912918601e-06
"100","1141 Eastern Avenue",0.0331489961558973,8,0.360528507846401,0.832142857142857,0.476331360946746,0,5.42381499887647e-06
"101","2054 Dufferin Street",0.0765081062804976,8,0.475959404787972,0.796428571428571,0.431952662721893,0,5.41296068986588e-06
"102","Keele Lot - 400 Indian Road",0.0292033160989643,8,0.553566240572327,0.646428571428571,0.535502958579882,0,5.36681990754032e-06
"103","180 Beecroft Road",0.290133259853865,8,0.625104130240845,0.832142857142857,0.272189349112426,0,5.34416617555135e-06
"104","154 Westmount Avenue",0.0350654012816805,8,0.484831893826572,0.735714285714286,0.526627218934911,0,5.33817892817158e-06
"105","20 Prescott Avenue ",0.00934086213903945,8,0.576322794745466,0.85,0.49112426035503,0,5.32784080869092e-06
"106","675 Manning Avenue",0.00835347909767138,8,0.367982383471088,0.853571428571429,0.49112426035503,0,5.3173293476017e-06
"107","130 Elizabeth Street - Toronto Coach Terminal",0.0137738586427113,8,0.428418302581458,0.817857142857143,0.482248520710059,0,5.2805443495635e-06
"108","9 Madison Ave.",0.0301533292069833,8,0.399700489719642,0.753571428571429,0.517751479289941,0,5.20714319200837e-06
"109","Downsview Lot - 415 William R Allen Rd",0.0913084055587899,8,0.742384099757493,0.792857142857143,0.452662721893491,0,5.16975852198268e-06
"110","265 Armadale Avenue",0.00924511737276227,8,0.222238840033999,0.775,0.473372781065089,1,5.13784321570242e-06
"111","250 Fort York Blvd. ",0.0611003982482792,8,0.472200427243535,0.892857142857143,0.417159763313609,0,5.09145171444138e-06
"112","87 Richmond Street East",0.0164135564348504,8,0.267566348227643,0.707142857142857,0.461538461538462,0,5.08817128607112e-06
"113","365 Lippincott Street",0.00840867368774842,8,0.417731454293319,0.807142857142857,0.520710059171598,1,5.02860527019468e-06
"114","115 Unwin Avenue",0.198280039280039,8,0.256095711701634,0.767857142857143,0.328402366863905,0,5.00545106188536e-06
"115","1167 Eastern Avenue",0.0335588379176258,8,0.461399938676953,0.935714285714286,0.482248520710059,0,4.90209747060661e-06
"116","1439 Danforth Avenue",0.0282434576166837,8,0.602892103239209,0.707142857142857,0.428994082840237,0,4.86764954802763e-06
"117","1010 Yonge St.",0.028149160147179,8,0.331616087119957,0.789285714285714,0.428994082840237,0,4.86664567806027e-06
"118","205 McCaul Street",0.0378514887362809,8,0.58898835943436,0.853571428571429,0.417159763313609,0,4.8439489749132e-06
"119","201 Claremont Street",0.0288862741337926,8,0.420723412927919,0.725,0.476331360946746,0,4.80145552328541e-06
"120","72 Amroth Avenue",0.0315375595064307,8,0.49369105488414,0.689285714285714,0.473372781065089,0,4.79853507709519e-06
"121","2053 Dufferin Street",0.0720842005150805,8,0.475959404787972,0.796428571428571,0.431952662721893,0,4.79023377824653e-06
"122","9 Emerson Ave.",0.0220172693040454,8,0.608776593580502,0.571428571428571,0.42603550295858,0,4.76987054085113e-06
"123","255 Kennedy Avenue",0.0131057907808043,8,0.718282762367526,0.807142857142857,0.43491124260355,0,4.76949007267154e-06
"124","716 Pape Avenue",0.0115256581614025,8,0.668909856430192,0.814285714285714,0.43491124260355,0,4.75266833090692e-06
"125","35 Bellevue Avenue",0.0113366316032997,8,0.515834860373287,0.796428571428571,0.485207100591716,0,4.71902103164006e-06
"126","1612 Danforth Avenue",0.0237471786439127,8,0.540784131648088,0.814285714285714,0.408284023668639,1,4.59930845697623e-06
"127","151 Hiawatha Road",0.0611839677398022,8,0.361023952247042,0.846428571428571,0.369822485207101,0,4.58839920227777e-06
"128","15 Wellesley Street East",0.0136491998863887,8,0.286806752592904,0.75,0.467455621301775,0,4.57229368211762e-06
"129","25 Glenforest Road",0.0166060106271396,8,0.380745643320465,0.978571428571429,0.464497041420118,0,4.57227686866776e-06
"130","3885 Yonge Street",0.0692705219188992,8,0.25674890335332,0.739285714285714,0.411242603550296,0,4.56667036163021e-06
"131","1575 Lake Shore Blvd. W. (Parks)",0.0631843112921436,8,0.80313691210587,0.846428571428571,0.417159763313609,0,4.56506374668721e-06
"132","265 Willard Avenue",0.00976296583209325,8,0.282139557915361,0.914285714285714,0.417159763313609,0,4.54492478349904e-06
"133","12 Woodycrest Avenue",0.0150628856181918,8,0.386967301180729,0.703571428571429,0.405325443786982,0,4.47536101165338e-06
"134","1275 Lakeshore Blvd. W. (Parks)",0.0520937023864289,8,0.409142169419449,0.825,0.417159763313609,0,4.45966151665925e-06
"135","6 Sherwood Avenue",0.0113959326539651,8,0.339165091035715,0.714285714285714,0.405325443786982,0,4.43632344286338e-06
"136","1501 Yonge Street",0.0110165764615258,8,0.267523481671536,0.753571428571429,0.402366863905325,0,4.4007885149872e-06
"137","1091 Eastern Avenue",0.0431160623195526,8,0.360528507846401,0.832142857142857,0.417159763313609,0,4.37434038673016e-06
"138","1531 Eglinton Avenue West",0.082331071230907,8,0.449284329877973,0.839285714285714,0.328402366863905,0,4.3725771779459e-06
"139","550 Mortimer Avenue",0.0483095869921229,8,0.471818572470038,0.775,0.408284023668639,0,4.33934558411537e-06
"140","77 Gough Avenue",0.014801565617024,8,0.668909856430192,0.814285714285714,0.43491124260355,0,4.27395224748766e-06
"141","341 Oakwood Avenue",0.00874938014879383,8,0.356986557722141,0.835714285714286,0.440828402366864,0,4.27266899870211e-06
"142","85 Lee Avenue",0.00539129850954176,8,0.555418176269302,0.860714285714286,0.443786982248521,0,4.26887223907344e-06
"143","80 Clinton Street",0.0191508975054085,8,0.298533211090507,0.839285714285714,0.42603550295858,0,4.23093445868851e-06
"144","197 Blantyre Avenue",0.0952663833969776,8,0.467134666454795,0.892857142857143,0.349112426035503,0,4.22325932593474e-06
"145","1117 Dundas Street West",0.0163963507915955,8,0.605674632575095,0.903571428571429,0.42603550295858,0,4.20475597121138e-06
"146","157 Beatrice Street",0.00521828411249155,8,0.262781049530385,0.835714285714286,0.387573964497041,0,4.18157924981903e-06
"147","105 Spadina Avenue",0.0124454098440905,8,0.312318760978743,0.864285714285714,0.378698224852071,0,4.16402847137185e-06
"148","13 Isabella Street",0.00791570069559644,8,0.822422787078421,0.882142857142857,0.428994082840237,0,4.15227566828926e-06
"149","363 Adelaide Street West",0.0133854846443164,8,0.312318760978743,0.864285714285714,0.372781065088757,0,4.11104352760092e-06
"150","20 Castlefield Avenue",0.0102439666645733,8,0.622794167977997,0.735714285714286,0.375739644970414,0,4.10909600914131e-06
"151","17 Eaton Avenue",0.0146856739949108,8,0.41917792346652,0.807142857142857,0.417159763313609,0,4.10414545375095e-06
