"","X","id","address","lat","lng","capacity","Convert","n_business","distance","n_customers","time_spent","traffic_volume"
"106",106,249,"1670 Bayview Ave",43.7074,-79.376543,33,0,20,0.000910035636782743,21.1,1.72532071880053,105
"107",107,251,"201 Claremont Street",43.651657,-79.41125,43,0,20,0.00109078806895993,30.25,2.06758966338758,161
"108",108,252,"154 Westmount Avenue",43.678907,-79.442248,14,0,20,0.00183369620921278,34.95,1.80072434582395,178
"109",109,256,"1624 Queen Street West",43.639526,-79.442441,33,0,20,0.000816305353189083,29.85,1.79061519395742,91
"110",110,259,"4 Spadina Road",43.666878,-79.404116,51,0,20,0.00239800836265557,29.25,1.81157717197789,177
"111",111,260,"94 Northcliffe Blvd.",43.6778094174964,-79.4406608171272,13,0,20,0.00295253934309238,31.2,2.09016131815019,167
"112",112,263,"130 Elizabeth Street - Toronto Coach Terminal",43.6556316577341,-79.3857854604721,27,0,20,0.000846356878650929,43.45,2.0231607650903,163
"113",113,266,"250 Fort York Blvd. ",43.637208258929,-79.406461027578,49,0,20,0.00515641663994756,28.1,3.10083136422966,141
"114",114,268,"271 Front Street East",43.651254,-79.362971,83,0,20,0.00272347551015785,29.95,1.19695587598004,126
"115",115,269,"1010 Yonge St.",43.675942,-79.389439,48,0,20,0.00144815299318814,23.55,1.44015099619334,145
"116",116,271,"800 Fleet Street",43.636821,-79.409705,94,0,20,0.0049032233185439,30.45,1.94869151179,86
"117",117,277,"242 Danforth Avenue",43.6770516151071,-79.3548725310048,19,0,20,0.0010142500070596,27.9,2.4245206970314,109
"118",118,279,"287 Rushton Road",43.681835,-79.4277031,16,0,20,0.00105467239029799,36.55,1.05896870103106,58
"119",119,282,"838 Broadview Ave.",43.678499963983,-79.3588725706043,11,0,20,0.00233548575635917,27.65,1.42685519792033,114
"120",120,287,"1091 Eastern Avenue",43.664603,-79.318234,45,0,20,0.00448039782721797,26,1.27609347838288,141
"121",121,288,"292 Brunswick Avenue",43.665368970093,-79.4076361251659,19,0,20,0.000601674920387219,32.35,2.29916199800612,183
"122",122,289,"373 Front Street East",43.6521902325786,-79.3594207332046,450,0,20,0.00180337157051314,34.4,1.55937321933672,94
"123",123,300,"185 Queens Quay East",43.6443439857175,-79.3662570749035,83,0,20,0.00270843081824388,9.85,2.86580419359843,105
"124",124,302,"545 Lake Shore Boulevard West",43.6364562,-79.3986913,110,0,20,0.00295403082918405,28.1,2.8055072941513,76
"125",125,303,"136 Wineva Ave.",43.671253953447,-79.2959578153443,28,0,20,0.00103522395954488,28.35,1.61788428790248,102
"126",126,400,"10 Kingsdale Avenue",43.770373,-79.41257,52,0,20,0.0291349690249026,25.15,2.63001957505803,125
"127",127,401,"246 Brooke Avenue",43.733158,-79.420295,97,0,20,0.00205779775465093,31.1,2.43356653107351,210
"128",128,402,"10 Empress Avenue",43.769459,-79.412484,68,0,20,0.0287925698010928,25.1,2.57349133768801,125
"129",129,403,"10 Harlandale Avenue",43.762168,-79.412441,112,0,20,0.0250427177564412,21.25,2.08007060314889,120
"130",130,410,"180 Beecroft Road",43.767569,-79.416143,173,0,20,0.025335961489339,25.15,2.63001957505803,92
"131",131,411,"1880 Avenue Road",43.732182,-79.419576,32,0,20,0.00212259104304075,31.65,2.08214827561351,183
"132",132,412,"11 Finch Avenue West",43.779321,-79.416572,62,0,20,0.0319661451953652,24.55,2.54105968408778,86
"133",133,413,"4576 Yonge Street",43.756023,-79.410403,17,0,20,0.0204454506715724,22.95,1.85404568006486,160
"134",134,414,"3885 Yonge Street",43.741786,-79.40595,129,0,20,0.00655883501155205,22.85,1.57340735359834,139
"135",135,418,"68 Sheppard Avenue West",43.76082,-79.414662,34,0,20,0.0236792122617189,20.55,2.2713338232221,119
"136",136,419,"5667 Yonge Street",43.781482,-79.415703,23,0,20,0.0341053406161216,24.55,2.54105968408778,86
"137",137,424,"2170 Bayview avenue",43.723875,-79.379571,69,0,20,0.012231837156095,24.05,2.62937534168341,181
"138",138,500,"7 Jackson Avenue",43.6483334,-79.5090384,40,0,20,0.023227547875998,21.85,1.87162054226084,247
"139",139,501,"11 Grenview Blvd. N.",43.648738,-79.507853,83,0,20,0.0219785726467266,21.85,1.87162054226084,228
"140",140,502,"342 Prince Edward Drive N.",43.6488534,-79.5055311,43,0,20,0.019807861686067,21.85,1.87162054226084,219
"141",141,503,"12 Willingdon Blvd. - partial construction, reduced spaces",43.648389,-79.510632,65,0,20,0.0246877356645241,21.85,1.87162054226084,247
"142",142,504,"9 Willingdon Blvd.",43.6481868,-79.5102001,116,0,20,0.0243586835822819,21.85,1.87162054226084,247
"143",143,505,"934 Royal York Road",43.646766,-79.511318,11,0,20,0.0259366588466954,21.85,1.87162054226084,230
"144",144,506,"140 Fifth Street",43.60169,-79.503422,53,0,20,0.0511662090547436,32.9,1.66754007925508,84
"145",145,507,"66 Third Street",43.601216,-79.500697,24,0,20,0.0505812951236402,32.9,1.66754007925508,84
"146",146,508,"128 Eighth Street",43.600906,-79.506769,45,0,20,0.053289527000807,32.9,1.66754007925508,135
"147",147,509,"105 Fourth Street",43.600781,-79.501415,22,0,20,0.0512413579626841,32.9,1.66754007925508,84
"148",148,510,"3239 Lake Shore Boulevard West",43.5969875841121,-79.5217088637543,22,0,20,0.0644955640966476,32.9,1.66754007925508,188
"149",149,511,"120 Sixth Street",43.600152,-79.50399,54,0,20,0.0527972781661506,32.9,1.66754007925508,100
"150",150,512,"3220 Bloor Street West",43.645959,-79.518067,69,0,20,0.0324986682658669,21.85,1.87162054226084,238
"151",151,513,"575 Royal York Road",43.626997,-79.502724,28,0,20,0.0294066910877343,32.55,1.85829649016371,161
"152",152,514,"139 ISLINGTON AVE.",43.601317,-79.50531,11,0,20,0.0522845746857357,32.9,1.66754007925508,112
"153",153,516,"WOOLGAR LANEWAY REAR OF 1124 THE QUEENSWAY",43.623355,-79.519,11,0,20,0.0438021389895376,33.9,1.88295940535974,287
"154",154,517,"15 Primrose Avenue",43.614299,-79.489882,23,0,20,0.035041344530902,32.9,1.66754007925508,66
"155",155,519,"5 Dayton Avenue",43.625584,-79.503551,15,0,20,0.0310081342067917,32.9,1.66754007925508,161
"156",156,520,"20 Royalavon Crescent",43.645253,-79.532733,62,0,20,0.046657376623044,21.1,1.90440778993142,229
"157",157,521,"7 Monkton Avenue",43.644336,-79.521886,25,0,20,0.0366421772858159,21.85,1.87162054226084,216
"158",158,522,"2195 Lake shore Blvd West (Parks)",43.6227739895514,-79.4767338220902,228,0,20,0.0264636526921135,26.6,1.73311363109063,138
"159",159,523,"2225 Lake shore Blvd West (Parks)",43.6200300180063,-79.4806666413864,80,0,20,0.028699366520237,32.25,1.75274125315007,111
"160",160,524,"2225 Lake shore Blvd West (Parks)",43.6196410632487,-79.4794703761658,144,0,20,0.0291908818523174,32.25,1.75274125315007,111
"161",161,525,"2225 Lake shore Blvd West (Parks)",43.616982,-79.477247,28,0,20,0.0319777651952369,29,1.90837575420611,107
"162",162,526,"2225 Lake shore Blvd West (Parks)",43.61478,-79.478059,22,0,20,0.0340329407292569,29.95,1.86730214641587,107
"163",163,527,"2225 Lake shore Blvd West (Parks)",43.613359,-79.479926,10,0,20,0.0352961382090401,31.95,1.98192807757504,107
"164",164,528,"5 Colonel Samuel Smith Park Drive",43.5978864295698,-79.5211193809232,52,0,20,0.0634255101532623,32.9,1.66754007925508,188
