"","Category","Operating.Name","city","Zip","Street","Address","lat","long","lamda","mu","qCustomer","tCustomer"
"56","RETAIL STORE (FOOD)","GROCERY & BARGAIN","TORONTO, ON","M4B 3M1","ST CLAIR AVE E","2650 ST CLAIR AVE E,TORONTO, ON,M4B 3M1",43.7054617,-79.3133278,25,1,27,3.51823723149266
"57","RETAIL STORE (FOOD)","TATA HOT SAUCE EMPORIUM","TORONTO, ON","M4B 2N7","REXLEIGH DR","219 REXLEIGH DR,TORONTO, ON,M4B 2N7",43.7064262,-79.3068763,25,1,30,0.426008682698011
"58","RETAIL STORE (FOOD)","LOS VIETNAMITA","TORONTO, ON","M4B 3M1","ST CLAIR AVE E","2644 ST CLAIR AVE E,TORONTO, ON,M4B 3M1",43.70534123,-79.31347359,25,1,33,7.21682856651629
"59","RETAIL STORE (FOOD)","ONE LIFE GRAB & GO","TORONTO, ON","M4B 3H6","CRANFIELD RD","45 CRANFIELD RD,TORONTO, ON,M4B 3H6",43.7148557,-79.30964015,25,1,18,1.43867170802298
"60","RETAIL STORE (FOOD)","GUARDIAN THEODORE PHARMACY","TORONTO, ON","M4B 2T8","O'CONNOR DR","1450 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.71321103,-79.30701367,25,1,20,1.06385190408201
"61","RETAIL STORE (FOOD)","STOP AND GO MART","TORONTO, ON","M4B 2V7","O'CONNOR DR","1541 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.71458514,-79.30550703,25,1,36,0.319855879526585
"62","PERSONAL SERVICES SETTINGS","ANITA'S HAIR PALACE","TORONTO, ON","M4B 2V7","O'CONNOR DR","1533 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.71443603,-79.30562158,15,0.5,15,0.463947798004744
"63","PERSONAL SERVICES SETTINGS","SHAKILA'S BEAUTY ACADEMY/SHAKILA'S HAIR STYLING AND AESTHETICS","TORONTO, ON","M4B 2V7","O'CONNOR DR","1539 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.71454787,-79.30553567,15,0.5,16,1.39425051762703
"64","PERSONAL SERVICES SETTINGS","DIAMOND SKY NAILS & SPA M","TORONTO, ON","M4B 2V7","O'CONNOR DR","1529 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.71436148,-79.30567886,15,0.5,13,0.700590324606011
"65","PERSONAL SERVICES SETTINGS","DIVINE NAILS","TORONTO, ON","M4B 3M1","ST CLAIR AVE E","2642 ST CLAIR AVE E,TORONTO, ON,M4B 3M1",43.7054093,-79.3135727,15,0.5,22,2.11470942749622
"66","LAUNDRY","A&M DRY CLEANERS & ALTERATION","TORONTO, ON","M4B 2S6","O'CONNOR DR","790A O'CONNOR DR,TORONTO, ON,M4B 2S6",43.7033614,-79.314902,5,0.25,6,1.76434791944073
"67","LAUNDRY","PLATIS CLEANERS","TORONTO, ON","M4B 1Y2","WATERMAN AVE","19 WATERMAN AVE,TORONTO, ON,M4B 1Y2",43.71147,-79.3151951,5,0.25,3,14.4450783944669
"68","LAUNDRY","O'CONNOR COIN LAUNDRY","TORONTO, ON","M4B 2V7","O'CONNOR DR","1545 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.7146597,-79.30544975,5,0.25,6,2.26656534895301
"69","VAPOUR PRODUCT RETAILER","FLAVOUR VAPE","TORONTO, ON","M4B 2V7","O'CONNOR DR","1541 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.71458514,-79.30550703,10,0.5,11,0.869016035260314
"70","PUBLIC GARAGE","G TEK AUTOMOTIVE","TORONTO, ON","M4B 3H1","CRANFIELD RD","26 CRANFIELD RD,TORONTO, ON,M4B 3H1",43.71313593,-79.3112928,20,2,31,1.01751980926366
"71","PUBLIC GARAGE","PETE'S AUTO CARE","TORONTO, ON","M4B 2S6","O'CONNOR DR","796 O'CONNOR DR,TORONTO, ON,M4B 2S6",43.7050419,-79.3135303,20,2,27,0.327817576238886
"72","PUBLIC GARAGE","PARKVIEW HILLS CAR SPA","TORONTO, ON","M4B 2S6","O'CONNOR DR","796 O'CONNOR DR,TORONTO, ON,M4B 2S6",43.7050419,-79.3135303,20,2,20,0.549754420274353
