"","Category","Operating.Name","city","Zip","Street","Address","lat","long"
"118","RETAIL STORE (FOOD)","THE EPICURE SHOP","TORONTO, ON","M5A 3A3","PARLIAMENT ST","473 PARLIAMENT ST,TORONTO, ON,M5A 3A3",43.6640854,-79.3677023
"119","RETAIL STORE (FOOD)","INDIGO","TORONTO, ON","M5B 2H1","YONGE ST","220 YONGE ST,TORONTO, ON,M5B 2H1",43.6541457,-79.3807927664679
"120","RETAIL STORE (FOOD)","CHRIS' CHEESE-MONGERS","TORONTO, ON","M5E 1C3","FRONT ST E","93 FRONT ST E,TORONTO, ON,M5E 1C3",43.649213,-79.371735
"121","RETAIL STORE (FOOD)","EVERYDAY GOURMET","TORONTO, ON","M5E 1C2","FRONT ST E","91 FRONT ST E,TORONTO, ON,M5E 1C2",43.649111,-79.37197
"122","RETAIL STORE (FOOD)","AVENUE SEAFOOD","TORONTO, ON","M5M 3Y8","AVENUE RD","1751 AVENUE RD,TORONTO, ON,M5M 3Y8",43.7290943666667,-79.4181538222222
"123","RETAIL STORE (FOOD)","PRESS INTERNATIONAL MAGAZINE STORE","TORONTO, ON","M5S 1Y5","BLOOR ST W","537 BLOOR ST W,TORONTO, ON,M5S 1Y5",43.6653197,-79.4097711
"124","RETAIL STORE (FOOD)","MIMUCHAS PLACE","TORONTO, ON","M5H 2L2","RICHMOND ST W","145 RICHMOND ST W,TORONTO, ON,M5H 2L2",43.64993865,-79.3853803728614
"125","RETAIL STORE (FOOD)","NUTCRACKER SWEET","TORONTO, ON","M5H 3Y2","KING ST W","40 KING ST W,TORONTO, ON,M5H 3Y2",43.64949675,-79.3795651438561
"126","RETAIL STORE (FOOD)","PHIPPS BAKERY CAFE","TORONTO, ON","M5N 1A2","EGLINTON AVE W","420 EGLINTON AVE W,TORONTO, ON,M5N 1A2",43.7041903,-79.4111038
"127","RETAIL STORE (FOOD)","L & Y TRADINGS","TORONTO, ON","M5T 3B3","SPADINA AVE","222 SPADINA AVE,TORONTO, ON,M5T 3B3",43.6509933,-79.3977969
"128","RETAIL STORE (FOOD)","18 SMOKE SHOP & VARIETY","TORONTO, ON","M5T 3B3","SPADINA AVE","222 SPADINA AVE,TORONTO, ON,M5T 3B3",43.6509933,-79.3977969
"129","RETAIL STORE (FOOD)","SEGOVIA MEAT MARKET","TORONTO, ON","M5T 2L6","AUGUSTA AVE","218 AUGUSTA AVE,TORONTO, ON,M5T 2L6",43.6548164,-79.4022963333333
"130","RETAIL STORE (FOOD)","DOLLARAMA","TORONTO, ON","M5G 2C8","BAY ST","777 BAY ST,TORONTO, ON,M5G 2C8",43.6597907,-79.3849782
"131","RETAIL STORE (FOOD)","MARKET PLACE","TORONTO, ON","M5A 1E3","FRONT ST E","129 FRONT ST E,TORONTO, ON,M5A 1E3",43.649836,-79.3698037
"132","RETAIL STORE (FOOD)","ST LAWRENCE JUICE BAR","TORONTO, ON","M5E 1C3","FRONT ST E","93 FRONT ST E,TORONTO, ON,M5E 1C3",43.649213,-79.371735
"133","RETAIL STORE (FOOD)","J & S CONVENIENCE","TORONTO, ON","M5A 2K6","CARLTON ST","184 CARLTON ST,TORONTO, ON,M5A 2K6",43.6635001666667,-79.3723650833333
"134","RETAIL STORE (FOOD)","RABBA FINE FOODS","TORONTO, ON","M5J 1B5","QUEENS QUAY W","252 QUEENS QUAY W,TORONTO, ON,M5J 1B5",43.639245,-79.385199
"135","RETAIL STORE (FOOD)","GREENDALE DRUGS","TORONTO, ON","M5A 2K1","CARLTON ST","152 CARLTON ST,TORONTO, ON,M5A 2K1",43.662984,-79.374423
"136","RETAIL STORE (FOOD)","FRESH AND WILD FOOD MARKET","TORONTO, ON","M5V 3P8","SPADINA AVE","69 SPADINA AVE,TORONTO, ON,M5V 3P8",43.6456586,-79.3947848
"137","RETAIL STORE (FOOD)","GERRARD CONVENIENCE","TORONTO, ON","M5A 2G1","GERRARD ST E","247 GERRARD ST E,TORONTO, ON,M5A 2G1",43.6617678,-79.3692029
"138","RETAIL STORE (FOOD)","STEVEN'S GROCERY","TORONTO, ON","M5R 3G6","BATHURST ST","990 BATHURST ST,TORONTO, ON,M5R 3G6",43.670183,-79.4133745
